as_of_date,product_id,product_name,brand_score,brand_score_status,confidence_index,entry_axis,expansion_axis,convergence_axis,return_axis,basket_axis,basket_top_pair_product_id,brand_score_note
2026-04-18,1000000092,일리향 3단,0.07172532627732613,provisional,0.6113636363636364,0.07734203607961962,0.20653067239955608,0.1403555364370946,0.08105599387737682,0.06828391734052111,1000000064,5축을 대부분 재현했지만 core intermediate와 완전 동일하지 않습니다.
2026-04-18,1000000093,매화 2송이 1호,0.11814848037356361,provisional,0.6522727272727273,0.6443090477930735,0.29875331266377814,0.3700978312740257,0.1087866108786611,0.13836477987421383,1000000064,5축을 대부분 재현했지만 core intermediate와 완전 동일하지 않습니다.
2026-04-18,1000000094,매화 3송이 1호,0.060134256103340424,provisional,0.5909090909090909,0.16186108788756395,0.2562874214007564,0.161074674136616,0.10323070142350553,0.055705300988319856,1000000064,5축을 대부분 재현했지만 core intermediate와 완전 동일하지 않습니다.
2026-04-18,1000000108,매화 2송이 2호,0.06649973083073052,provisional,0.7545454545454546,0.22993695553342763,0.2895687172126886,0.24763866222510444,0.22300247763780415,0.06019766397124888,1000000093,5축을 대부분 재현했지만 core intermediate와 완전 동일하지 않습니다.
2026-04-18,1000000110,매화 3송이 2호,0.04004112999078824,provisional,0.5704545454545455,0.0513052170772004,0.155867544958705,0.05711309711631774,0.0821917808219178,0.03773584905660377,1000000111,5축을 대부분 재현했지만 core intermediate와 완전 동일하지 않습니다.
2026-04-18,1000000111,매화 3송이 3호,0.09474941624110027,provisional,0.5704545454545455,0.3208852359596403,0.30306932442442236,0.30687895167109863,0.09763313609467456,0.0880503144654088,1000000064,5축을 대부분 재현했지만 core intermediate와 완전 동일하지 않습니다.
2026-04-18,1000000112,매화 5송이 2호,0.049015807755852264,provisional,0.5704545454545455,0.07684220613299411,0.1618979074094938,0.08252005935812662,0.1652019463362182,0.04582210242587601,1000000045,5축을 대부분 재현했지만 core intermediate와 완전 동일하지 않습니다.
2026-04-18,1000000113,매화 5송이 3호,0.047239720385670675,limited,0.55,0.08447262441079666,0.20699035081544917,0.07354360682188857,0.1267287862135403,0.0440251572327044,1000000064,산식은 계산했지만 basket 또는 event 재현이 제한적입니다.
2026-04-18,1000000121,깨송편 1kg,0.0713685158054981,limited,0.55,0.06621769073235362,0.2031461742707357,0.18291014342487721,0.2211114821994402,0.18508535489667566,1000000064,산식은 계산했지만 basket 또는 event 재현이 제한적입니다.
2026-04-18,1000000127,흑임자이티,0.09333569979478737,provisional,0.6522727272727273,0.10546573453393789,0.1644158182016456,0.08743814502947761,0.20691786644424787,0.41868823000898475,1000000064,5축을 대부분 재현했지만 core intermediate와 완전 동일하지 않습니다.
2026-04-18,1000000128,흑임자인절미,0.021457700042280196,provisional,0.5704545454545455,0.019246950830977536,0.13004946933649245,0.023245319614371648,0.07372418896626555,0.12219227313566937,1000000064,5축을 대부분 재현했지만 core intermediate와 완전 동일하지 않습니다.
2026-04-18,1000000142,경기 미숫가루,0.001334978585159792,provisional,0.5017045454545456,0.009827090661355396,0.14280735956123078,0.01415667964905933,0,0.055705300988319856,1000000064,5축을 대부분 재현했지만 core intermediate와 완전 동일하지 않습니다.
2026-04-18,1000000143,"경기참기름, 경기들기름",0.01023717582456143,provisional,0.3779545454545455,0.00839022366002394,0.11933617996700802,0.015200660281865012,0.12177161221123269,0.0431266846361186,1000000064,5축을 대부분 재현했지만 core intermediate와 완전 동일하지 않습니다.
2026-04-18,1000000153,유밀상,0.010681043836061055,limited,0.55,0.008944770091401405,0.12474474732117659,0.08137758836035486,0.05454545454545454,0.019766397124887692,1000000156,산식은 계산했지만 basket 또는 event 재현이 제한적입니다.
2026-04-18,1000000154,화연상,0.0059432051164793245,limited,0.5225,0.005914762253137116,0.11684975506033066,0.009286984067250375,0.10526315789473684,0.004492362982929021,1000000153,산식은 계산했지만 basket 또는 event 재현이 제한적입니다.
2026-04-18,1000000156,기원상,0.015513763635378867,limited,0.55,0.012934400326602926,0.18521217740072787,0.07383125731099405,0.14084507042253522,0.017070979335130278,1000000153,산식은 계산했지만 basket 또는 event 재현이 제한적입니다.
