rank,as_of_date,window_key,window_days,period_label,product_id,product_name,product_image_url,priority_level,priority_sort_score,revenue_change_rate_30d,revenue_change_rate,revenue_compare_state,revenue_compare_note,revenue_30d_compare_state,revenue_30d_compare_note,revenue_reason,role_taxonomy,role_reason,role_evidence_status,brand_score_status,brand_score_reason,revenue_freshness_max_date,role_freshness_max_date,brand_revenue_current,brand_revenue_previous,brand_revenue_delta_rate,brand_revenue_30d_current,brand_revenue_30d_previous,brand_revenue_30d_delta_rate
25,2026-04-18,30d,30,최근 30일,1000000043,모듬영양찰떡,https://godomall.speedycdn.net/a1ce4a197810c4cd52677b215337ca9e/goods/1000000043/image/list/1000000043_list_012.jpg,즉시 확인,38100000,-0.34110787172011664,-0.34110787172011664,available,직전 동일 길이 기간과 비교 가능합니다.,available,직전 동일 길이 기간과 비교 가능합니다.,최근 30일 매출이 직전기간 대비 -34.1%,동시구매기여,최근 30일 동시구매기여 기준 최근 30일 역할 관측은 참고용입니다.,limited,limited,최근 30일 브랜드 점수 참고용,2026-04-18,2026-04-18,161962180,195510440,-0.17159318960153738,161962180,195510440,-0.17159318960153738
26,2026-04-18,1d,1,하루 기준,1000000064,2색 이티,https://godomall.speedycdn.net/a1ce4a197810c4cd52677b215337ca9e/goods/1000000064/image/list/1000000064_list_053.jpg,즉시 확인,36950000,,-0.5653621981681932,available,직전 동일 길이 기간과 비교 가능합니다.,,,하루 기준 매출이 직전기간 대비 -56.5%,첫구매기여,하루 기준 첫구매기여 기준 하루 기준 주요 신호 1.00,available,limited,하루 기준 브랜드 점수 참고용,2026-04-18,2026-04-18,2861800,2947300,-0.029009602008618057,,,
27,2026-04-18,7d,7,최근 7일,1000000087,백리향 1단 (1호 2호 3호),https://godomall.speedycdn.net/a1ce4a197810c4cd52677b215337ca9e/goods/1000000087/image/list/1000000087_list_067.jpg,즉시 확인,35200000,,-0.22439024390243903,available,직전 동일 길이 기간과 비교 가능합니다.,,,최근 7일 매출이 직전기간 대비 -22.4%,반복구매기여,최근 7일 반복구매기여 기준 최근 7일 주요 신호 0.32,available,limited,최근 7일 브랜드 점수 참고용,2026-04-18,2026-04-18,25575500,35701600,-0.2836315459251126,,,
28,2026-04-18,7d,7,최근 7일,1000000086,십리향 3단,https://godomall.speedycdn.net/a1ce4a197810c4cd52677b215337ca9e/goods/1000000086/image/list/1000000086_list_048.jpg,즉시 확인,35200000,,-0.4831207801950488,available,직전 동일 길이 기간과 비교 가능합니다.,,,최근 7일 매출이 직전기간 대비 -48.3%,재구매확장기여,최근 7일 재구매확장기여 기준 최근 7일 주요 신호 0.65,available,limited,최근 7일 브랜드 점수 참고용,2026-04-18,2026-04-18,25575500,35701600,-0.2836315459251126,,,
29,2026-04-18,7d,7,최근 7일,1000000085,십리향 2단 (1호 2호 3호),https://godomall.speedycdn.net/a1ce4a197810c4cd52677b215337ca9e/goods/1000000085/image/list/1000000085_list_069.jpg,즉시 확인,32750000,,-0.24118362383461694,available,직전 동일 길이 기간과 비교 가능합니다.,,,최근 7일 매출이 직전기간 대비 -24.1%,재구매확장기여,최근 7일 재구매확장기여 기준 최근 7일 주요 신호 0.30,available,limited,최근 7일 브랜드 점수 참고용,2026-04-18,2026-04-18,25575500,35701600,-0.2836315459251126,,,
30,2026-04-18,7d,7,최근 7일,1000000127,흑임자이티,https://godomall.speedycdn.net/a1ce4a197810c4cd52677b215337ca9e/goods/1000000127/image/list/1000000127_list_053.jpg,즉시 확인,23500000,,-0.6591639871382636,available,직전 동일 길이 기간과 비교 가능합니다.,,,최근 7일 매출이 직전기간 대비 -65.9%,동시구매기여,최근 7일 동시구매기여 기준 최근 7일 주요 신호 0.42,available,limited,최근 7일 브랜드 점수 참고용,2026-04-18,2026-04-18,25575500,35701600,-0.2836315459251126,,,
31,2026-04-18,30d,30,최근 30일,1000000153,유밀상,https://godomall.speedycdn.net/a1ce4a197810c4cd52677b215337ca9e/goods/1000000153/image/list/1000000153_list_092.jpg,즉시 확인,23020000,-0.7,-0.7,available,직전 동일 길이 기간과 비교 가능합니다.,available,직전 동일 길이 기간과 비교 가능합니다.,최근 30일 매출이 직전기간 대비 -70.0%,재구매확장기여,최근 30일 재구매확장기여 기준 최근 30일 역할 관측은 참고용입니다.,limited,limited,최근 30일 브랜드 점수 참고용,2026-04-18,2026-04-18,161962180,195510440,-0.17159318960153738,161962180,195510440,-0.17159318960153738
32,2026-04-18,1d,1,하루 기준,1000000044,고구마찰떡,https://godomall.speedycdn.net/a1ce4a197810c4cd52677b215337ca9e/goods/1000000044/image/list/1000000044_list_088.jpg,즉시 확인,22900000,,-1,available,직전 동일 길이 기간과 비교 가능합니다.,,,하루 기준 매출이 직전기간 대비 -100.0%,동시구매기여,하루 기준 동시구매기여 기준 하루 기준 주요 신호 0.37,available,limited,하루 기준 브랜드 점수 참고용,2026-04-18,2026-04-18,2861800,2947300,-0.029009602008618057,,,
33,2026-04-18,30d,30,최근 30일,1000000062,흰이티,https://godomall.speedycdn.net/a1ce4a197810c4cd52677b215337ca9e/goods/1000000062/image/list/1000000062_list_062.jpg,주의 관찰,21700000,-0.08008130081300813,-0.08008130081300813,available,직전 동일 길이 기간과 비교 가능합니다.,available,직전 동일 길이 기간과 비교 가능합니다.,최근 30일 매출이 직전기간 대비 -8.0%,동시구매기여,최근 30일 동시구매기여 기준 최근 30일 역할 관측은 참고용입니다.,limited,limited,최근 30일 브랜드 점수 참고용,2026-04-18,2026-04-18,161962180,195510440,-0.17159318960153738,161962180,195510440,-0.17159318960153738
34,2026-04-18,1d,1,하루 기준,1000000063,쑥이티,https://godomall.speedycdn.net/a1ce4a197810c4cd52677b215337ca9e/goods/1000000063/image/list/1000000063_list_055.jpg,즉시 확인,21150000,,-1,available,직전 동일 길이 기간과 비교 가능합니다.,,,하루 기준 매출이 직전기간 대비 -100.0%,동시구매기여,하루 기준 동시구매기여 기준 하루 기준 주요 신호 0.40,available,limited,하루 기준 브랜드 점수 참고용,2026-04-18,2026-04-18,2861800,2947300,-0.029009602008618057,,,
35,2026-04-18,30d,30,최근 30일,1000000144,경기 미숫가루 쫀드기,https://godomall.speedycdn.net/a1ce4a197810c4cd52677b215337ca9e/goods/1000000144/image/list/1000000144_list_070.jpg,즉시 확인,20100000,-1,-1,available,직전 동일 길이 기간과 비교 가능합니다.,available,직전 동일 길이 기간과 비교 가능합니다.,최근 30일 매출이 직전기간 대비 -100.0%,반복구매기여,최근 30일 반복구매기여 기준 최근 30일 역할 관측은 참고용입니다.,limited,limited,최근 30일 브랜드 점수 참고용,2026-04-18,2026-04-18,161962180,195510440,-0.17159318960153738,161962180,195510440,-0.17159318960153738
36,2026-04-18,1d,1,하루 기준,1000000113,매화 5송이 3호,https://godomall.speedycdn.net/a1ce4a197810c4cd52677b215337ca9e/goods/1000000113/image/list/1000000113_list_070.jpg,즉시 확인,19770000,,-1,available,직전 동일 길이 기간과 비교 가능합니다.,,,하루 기준 매출이 직전기간 대비 -100.0%,재구매확장기여,하루 기준 재구매확장기여 기준 하루 기준 주요 신호 0.21,available,limited,하루 기준 브랜드 점수 참고용,2026-04-18,2026-04-18,2861800,2947300,-0.029009602008618057,,,
37,2026-04-18,30d,30,최근 30일,1000000128,흑임자인절미,https://godomall.speedycdn.net/a1ce4a197810c4cd52677b215337ca9e/goods/1000000128/image/list/1000000128_list_033.jpg,즉시 확인,18600000,-0.5333333333333333,-0.5333333333333333,available,직전 동일 길이 기간과 비교 가능합니다.,available,직전 동일 길이 기간과 비교 가능합니다.,최근 30일 매출이 직전기간 대비 -53.3%,동시구매기여,최근 30일 동시구매기여 기준 최근 30일 역할 관측은 참고용입니다.,limited,limited,최근 30일 브랜드 점수 참고용,2026-04-18,2026-04-18,161962180,195510440,-0.17159318960153738,161962180,195510440,-0.17159318960153738
38,2026-04-18,1d,1,하루 기준,1000000088,백리향 2단 (1호 2호),https://godomall.speedycdn.net/a1ce4a197810c4cd52677b215337ca9e/goods/1000000088/image/list/1000000088_list_033.jpg,즉시 확인,17000000,,-0.5185185185185185,available,직전 동일 길이 기간과 비교 가능합니다.,,,하루 기준 매출이 직전기간 대비 -51.9%,재구매확장기여,하루 기준 재구매확장기여 기준 하루 기준 주요 신호 0.35,available,limited,하루 기준 브랜드 점수 참고용,2026-04-18,2026-04-18,2861800,2947300,-0.029009602008618057,,,
39,2026-04-18,30d,30,최근 30일,1000000095,매화 5송이 1호,https://godomall.speedycdn.net/a1ce4a197810c4cd52677b215337ca9e/goods/1000000095/image/list/1000000095_list_06.jpg,즉시 확인,15720000,-1,-1,available,직전 동일 길이 기간과 비교 가능합니다.,available,직전 동일 길이 기간과 비교 가능합니다.,최근 30일 매출이 직전기간 대비 -100.0%,재구매확장기여,최근 30일 재구매확장기여 기준 최근 30일 역할 관측은 참고용입니다.,limited,limited,최근 30일 브랜드 점수 참고용,2026-04-18,2026-04-18,161962180,195510440,-0.17159318960153738,161962180,195510440,-0.17159318960153738
40,2026-04-18,7d,7,최근 7일,1000000070,마스코바도 쑥설기,https://godomall.speedycdn.net/a1ce4a197810c4cd52677b215337ca9e/goods/1000000070/image/list/1000000070_list_027.jpg,즉시 확인,13100000,,-1,available,직전 동일 길이 기간과 비교 가능합니다.,,,최근 7일 매출이 직전기간 대비 -100.0%,반복구매기여,최근 7일 반복구매기여 기준 최근 7일 주요 신호 0.14,available,limited,최근 7일 브랜드 점수 참고용,2026-04-18,2026-04-18,25575500,35701600,-0.2836315459251126,,,
41,2026-04-18,7d,7,최근 7일,1000000043,모듬영양찰떡,https://godomall.speedycdn.net/a1ce4a197810c4cd52677b215337ca9e/goods/1000000043/image/list/1000000043_list_012.jpg,즉시 확인,13000000,,-0.5714285714285714,available,직전 동일 길이 기간과 비교 가능합니다.,,,최근 7일 매출이 직전기간 대비 -57.1%,동시구매기여,최근 7일 동시구매기여 기준 최근 7일 주요 신호 0.49,available,limited,최근 7일 브랜드 점수 참고용,2026-04-18,2026-04-18,25575500,35701600,-0.2836315459251126,,,
