product_id,product_name,section,label,value,note
1000000042,약식,헤더,우선순위,정상 유지,최근 30일 매출이 직전기간 대비 -2.8% 유지 또는 개선 / 첫구매기여 기준 첫구매기여 근거 1.00
1000000042,약식,Revenue,최근 30일 대비,-2.8%,최근 30일 매출이 직전기간 대비 -2.8% 유지 또는 개선
1000000042,약식,Role,현재 taxonomy,첫구매기여,첫구매기여 기준 첫구매기여 근거 1.00
1000000042,약식,Brand Score,상태,limited,산식은 계산했지만 basket 또는 event 재현이 제한적입니다.
1000000042,약식,근거,반복 구매,0.15,반복 루프 0건
1000000042,약식,근거,동시 구매,0.00,동시구매 pair 0건
1000000063,쑥이티,헤더,우선순위,정상 유지,최근 30일 매출이 직전기간 대비 4.7% 유지 또는 개선 / 첫구매기여 기준 첫구매기여 근거 1.00
1000000063,쑥이티,Revenue,최근 30일 대비,4.7%,최근 30일 매출이 직전기간 대비 4.7% 유지 또는 개선
1000000063,쑥이티,Role,현재 taxonomy,첫구매기여,첫구매기여 기준 첫구매기여 근거 1.00
1000000063,쑥이티,Brand Score,상태,limited,산식은 계산했지만 basket 또는 event 재현이 제한적입니다.
1000000063,쑥이티,근거,반복 구매,0.26,반복 루프 0건
1000000063,쑥이티,근거,동시 구매,0.00,동시구매 pair 0건
1000000089,백리향 3단,헤더,우선순위,정상 유지,최근 30일 매출이 직전기간 대비 7.2% 유지 또는 개선 / 첫구매기여 기준 첫구매기여 근거 1.00
1000000089,백리향 3단,Revenue,최근 30일 대비,7.2%,최근 30일 매출이 직전기간 대비 7.2% 유지 또는 개선
1000000089,백리향 3단,Role,현재 taxonomy,첫구매기여,첫구매기여 기준 첫구매기여 근거 1.00
1000000089,백리향 3단,Brand Score,상태,limited,산식은 계산했지만 basket 또는 event 재현이 제한적입니다.
1000000089,백리향 3단,근거,반복 구매,0.17,반복 루프 0건
1000000089,백리향 3단,근거,동시 구매,0.00,동시구매 pair 0건
1000000086,십리향 3단,헤더,우선순위,정상 유지,최근 30일 매출이 직전기간 대비 18.4% 유지 또는 개선 / 첫구매기여 기준 첫구매기여 근거 1.00
1000000086,십리향 3단,Revenue,최근 30일 대비,18.4%,최근 30일 매출이 직전기간 대비 18.4% 유지 또는 개선
1000000086,십리향 3단,Role,현재 taxonomy,첫구매기여,첫구매기여 기준 첫구매기여 근거 1.00
1000000086,십리향 3단,Brand Score,상태,limited,산식은 계산했지만 basket 또는 event 재현이 제한적입니다.
1000000086,십리향 3단,근거,반복 구매,0.27,반복 루프 0건
1000000086,십리향 3단,근거,동시 구매,0.00,동시구매 pair 0건
1000000088,백리향 2단 (1호 2호),헤더,우선순위,정상 유지,최근 30일 매출이 직전기간 대비 9.0% 유지 또는 개선 / 첫구매기여 기준 첫구매기여 근거 1.00
1000000088,백리향 2단 (1호 2호),Revenue,최근 30일 대비,9.0%,최근 30일 매출이 직전기간 대비 9.0% 유지 또는 개선
1000000088,백리향 2단 (1호 2호),Role,현재 taxonomy,첫구매기여,첫구매기여 기준 첫구매기여 근거 1.00
1000000088,백리향 2단 (1호 2호),Brand Score,상태,limited,산식은 계산했지만 basket 또는 event 재현이 제한적입니다.
1000000088,백리향 2단 (1호 2호),근거,반복 구매,0.11,반복 루프 0건
1000000088,백리향 2단 (1호 2호),근거,동시 구매,0.00,동시구매 pair 0건
