as_of_date,product_id,product_name,product_image_url,contribution_status,contributor_status,reconstructed_product_signal,confidence,numeric_display_policy,reconstruction_level,parity_level,parity_score,status_label,status_reason,limitation_reason,limitation_reason_detail,entry_axis,expansion_axis,convergence_axis,return_axis,basket_axis,entry_primary_type,expansion_primary_type,basket_type,attach_rate,first_customer_cnt,structural_active_order_cnt,structural_active_member_cnt,basket_pair_rows,top_pair_product_id,basket_top_pair_product_id,basket_top1_share,basket_top3_share,basket_parity_score,basket_parity_level,event_freshness_gap_days,basket_freshness_gap_days,role_alignment_note,contribution_share,contributor_rank
2026-04-18,1000000084,십리향 1단 (1호 2호 3호),https://godomall.speedycdn.net/a1ce4a197810c4cd52677b215337ca9e/goods/1000000084/image/list/1000000084_list_028.jpg,limited,limited,0.04699746184634644,Medium,hide,reconstructed_with_limitations,medium,0.7538940809968847,제한 반영,제한 반영: 이벤트 최신성 지연 / 동시구매 재구성 안정성 낮음,이벤트 최신성 지연 / 동시구매 재구성 안정성 낮음,raw basket detail과의 유사도가 낮습니다. | event freshness가 7일을 초과합니다. | basket parity가 낮습니다.,0.07908415336069927,0.14228575611546665,0.2131080424893167,0.04033042973794406,0.6363636363636364,None,None,None,0.6363636363636364,149,55,35,15,1000000087,1000000087,0.16981132075471697,0.41509433962264153,0.015576323987538906,low,27,0,관측 약함 / 관측 약함 / 관측 약함,0.015009163952962838,23
2026-04-18,1000000035,떡국떡 500g,https://godomall.speedycdn.net/a1ce4a197810c4cd52677b215337ca9e/goods/1000000035/image/list/1000000035_list_093.jpg,limited,limited,0.041755437992978275,Medium,hide,reconstructed_with_limitations,high,0.8371518418688231,제한 반영,제한 반영: 이벤트 최신성 지연 / 동시구매 재구성 안정성 낮음,이벤트 최신성 지연 / 동시구매 재구성 안정성 낮음,raw basket detail과의 유사도가 낮습니다. | event freshness가 7일을 초과합니다. | basket parity가 낮습니다.,0.034002723803650166,0.20058222943497608,0.1583334948440104,0.1918835103013164,0.7073170731707317,None,None,None,0.7073170731707317,77,41,30,17,1000000064,1000000064,0.17647058823529413,0.4117647058823529,0.34860736747529203,low,27,0,관측 약함 / 관측 약함 / 관측 약함,0.013335065132099361,24
2026-04-18,1000000069,설기세트,https://godomall.speedycdn.net/a1ce4a197810c4cd52677b215337ca9e/goods/1000000069/image/list/1000000069_list_033.jpg,limited,limited,0.04152619942001819,Medium,hide,reconstructed_with_limitations,high,0.8371829710144927,제한 반영,제한 반영: 이벤트 최신성 지연 / 동시구매 재구성 안정성 낮음,이벤트 최신성 지연 / 동시구매 재구성 안정성 낮음,raw basket detail과의 유사도가 낮습니다. | event freshness가 7일을 초과합니다. | basket parity가 낮습니다.,0.038165304343330805,0.13546776190076454,0.034140744763748794,0.15949893473402418,0.8636363636363636,None,None,None,0.8636363636363636,101,44,31,17,1000000064,1000000064,0.25675675675675674,0.527027027027027,0.348731884057971,low,27,0,관측 약함 / 관측 약함 / 관측 약함,0.013261855235421319,25
2026-04-18,1000000083,백설기,https://godomall.speedycdn.net/a1ce4a197810c4cd52677b215337ca9e/goods/1000000083/image/list/1000000083_list_054.jpg,limited,limited,0.03804469647450834,Medium,hide,reconstructed_with_limitations,medium,0.7517942583732058,제한 반영,제한 반영: 이벤트 최신성 지연 / 동시구매 재구성 안정성 낮음,이벤트 최신성 지연 / 동시구매 재구성 안정성 낮음,raw basket detail과의 유사도가 낮습니다. | event freshness가 7일을 초과합니다. | basket parity가 낮습니다.,0.0315237574010326,0.22565500811434805,0.06539411845060358,0.319805850502194,0.4444444444444444,None,None,None,0.4444444444444444,77,9,7,9,1000000121,1000000121,0.2,0.4,0.0071770334928229484,low,27,0,관측 약함 / 관측 약함 / 관측 약함,0.01214999841466957,26
2026-04-18,1000000090,일리향 1단 (1호 2호 3호),https://godomall.speedycdn.net/a1ce4a197810c4cd52677b215337ca9e/goods/1000000090/image/list/1000000090_list_073.jpg,limited,limited,0.02855584433220835,Medium,hide,reconstructed_with_limitations,high,0.8366161616161616,제한 반영,제한 반영: 이벤트 최신성 지연 / 동시구매 재구성 안정성 낮음,이벤트 최신성 지연 / 동시구매 재구성 안정성 낮음,raw basket detail과의 유사도가 낮습니다. | event freshness가 7일을 초과합니다. | basket parity가 낮습니다.,0.06018415133321831,0.10582468416780161,0.1278967674860864,0.0234375,0.5357142857142857,None,None,None,0.5357142857142857,128,56,36,13,1000000091,1000000091,0.23076923076923078,0.5384615384615384,0.34646464646464636,low,27,0,관측 약함 / 관측 약함 / 관측 약함,0.009119627583265304,27
2026-04-18,1000000089,백리향 3단,https://godomall.speedycdn.net/a1ce4a197810c4cd52677b215337ca9e/goods/1000000089/image/list/1000000089_list_027.jpg,limited,limited,0.0280453391984331,Medium,hide,reconstructed_with_limitations,medium,0.7509469696969697,제한 반영,제한 반영: 이벤트 최신성 지연 / 동시구매 재구성 안정성 낮음,이벤트 최신성 지연 / 동시구매 재구성 안정성 낮음,raw basket detail과의 유사도가 낮습니다. | event freshness가 7일을 초과합니다. | basket parity가 낮습니다.,0.023261506705951566,0.41877115875706206,0.06669868755273502,0.17092700357431104,0.11764705882352941,Qualified,Deep,None,0.11764705882352941,49,17,13,2,1000000064,1000000064,0.5,1,0.0037878787878788214,low,27,0,선별 유입 / 깊은 확장 / 관측 약함,0.00895659207133249,28
2026-04-18,1000000128,흑임자인절미,https://godomall.speedycdn.net/a1ce4a197810c4cd52677b215337ca9e/goods/1000000128/image/list/1000000128_list_033.jpg,limited,limited,0.026493777172696947,Medium,hide,reconstructed_with_limitations,high,0.8366583541147132,제한 반영,제한 반영: 이벤트 최신성 지연 / 동시구매 재구성 안정성 낮음,이벤트 최신성 지연 / 동시구매 재구성 안정성 낮음,raw basket detail과의 유사도가 낮습니다. | event freshness가 7일을 초과합니다. | basket parity가 낮습니다.,0.019246950830977536,0.13004946933649245,0.023245319614371648,0.07372418896626555,0.9615384615384616,None,None,None,0.9615384615384616,62,26,20,16,1000000064,1000000064,0.24615384615384617,0.4461538461538462,0.3466334164588529,low,27,0,관측 약함 / 관측 약함 / 관측 약함,0.008461083422299448,29
2026-04-18,1000000065,흰인절미,https://godomall.speedycdn.net/a1ce4a197810c4cd52677b215337ca9e/goods/1000000065/image/list/1000000065_list_019.jpg,limited,limited,0.02379496254460634,Medium,hide,reconstructed_with_limitations,high,0.8378514056224899,제한 반영,제한 반영: 이벤트 최신성 지연 / 동시구매 재구성 안정성 낮음,이벤트 최신성 지연 / 동시구매 재구성 안정성 낮음,raw basket detail과의 유사도가 낮습니다. | event freshness가 7일을 초과합니다. | basket parity가 낮습니다.,0.014041021479702027,0.15266740385711236,0.04352691171972061,0.41542150709418335,1,None,None,None,1,48,14,11,18,1000000064,1000000064,0.21951219512195122,0.4634146341463415,0.35140562248995977,low,27,0,관측 약함 / 관측 약함 / 관측 약함,0.00759918685086119,30
2026-04-18,1000000066,쑥인절미,https://godomall.speedycdn.net/a1ce4a197810c4cd52677b215337ca9e/goods/1000000066/image/list/1000000066_list_042.jpg,limited,limited,0.017949772516870834,Medium,hide,reconstructed_with_limitations,high,0.8379360465116279,제한 반영,제한 반영: 이벤트 최신성 지연 / 동시구매 재구성 안정성 낮음,이벤트 최신성 지연 / 동시구매 재구성 안정성 낮음,raw basket detail과의 유사도가 낮습니다. | event freshness가 7일을 초과합니다. | basket parity가 낮습니다.,0.029014059193868312,0.18051496128089686,0.009861877705884536,0.29932327763414024,0.8292682926829268,None,None,None,0.8292682926829268,90,41,30,19,1000000064,1000000064,0.20987654320987653,0.38271604938271603,0.3517441860465116,low,27,0,관측 약함 / 관측 약함 / 관측 약함,0.005732460180613873,31
2026-04-18,1000000033,가래떡,https://godomall.speedycdn.net/a1ce4a197810c4cd52677b215337ca9e/goods/1000000033/image/list/1000000033_list_090.jpg,limited,limited,0.016687257983469754,Medium,hide,reconstructed_with_limitations,high,0.837202380952381,제한 반영,제한 반영: 이벤트 최신성 지연 / 동시구매 재구성 안정성 낮음,이벤트 최신성 지연 / 동시구매 재구성 안정성 낮음,raw basket detail과의 유사도가 낮습니다. | event freshness가 7일을 초과합니다. | basket parity가 낮습니다.,0.010611362666699951,0.13745114209087086,0.07348420019729274,0.06382978723404255,0.7272727272727273,None,None,None,0.7272727272727273,47,22,15,13,1000000035,1000000035,0.28125,0.46875,0.3488095238095239,low,27,0,관측 약함 / 관측 약함 / 관측 약함,0.0053292620741551035,32
