date,product_id,product_name,first_customer_cnt,entry_gravity_score,entry_gravity_primary_type,expansion_gravity_score,expansion_gravity_primary_type,revenue_90d,convergence_gravity_score,return_gravity_score,return_customer_rate_90d,return_loop_rate_90d,simple_repeat_rate_90d,distinct_source_product_cnt_90d,scored_observed_flag,demand_observed_flag
2026-04-06,1000000066,쑥인절미,86,0.022783789196818508,None,0.07801067371581386,None,14615040,0.03429015077713736,0.2730373580053484,0.046511627906976744,0.08139534883720931,0.011627906976744186,4,true,true
2026-04-06,1000000069,설기세트,103,0.03423683651385458,None,0.03624599631519141,None,21292540,0.02889630862354472,0.20613040571121868,0.038834951456310676,0.04854368932038835,0,3,true,true
2026-04-06,1000000070,마스코바도 쑥설기,23,0.0018903363707075149,None,0.04211171272884761,None,3663420,0.008440038922683421,0.0895204962411981,0.043478260869565216,0.043478260869565216,0.043478260869565216,2,true,true
2026-04-06,1000000071,마스코바도 호박설기,35,0.004842758112494763,None,0.05575799671387668,None,5767840,0.023950257551822077,0.2416179857601323,0.08571428571428572,0.08571428571428572,0,2,true,true
2026-04-06,1000000072,마스코바도 흑임자설기,13,0.0001522769644758907,None,0.015753596068873013,None,1470500,0.002479134236875667,0,0,0,0,1,true,true
2026-04-06,1000000083,백설기,78,0.026748908540749516,None,0.12404698467852669,None,20116880,0.053917456545810837,0.275117328224029,0.0641025641025641,0.0641025641025641,0.01282051282051282,6,true,true
2026-04-06,1000000084,십리향 1단 (1호 2호 3호),148,0.06858121526947349,None,0.02448822513897196,None,39059600,0.15220343029354108,0.03703364696632001,0.006756756756756757,0.006756756756756757,0.02702702702702703,13,true,true
2026-04-06,1000000085,십리향 2단 (1호 2호 3호),316,0.16666201167645037,Broad,0.20037242056919496,None,70411000,0.21029300166262013,0.1745793540258106,0.02531645569620253,0.02531645569620253,0.060126582278481014,12,true,true
2026-04-06,1000000086,십리향 3단,199,0.10027560688375299,Qualified,0.5566544318890125,Deep,50936020,0.21270246686747105,0.23746719302484,0.035175879396984924,0.04522613065326633,0.10552763819095477,15,true,true
2026-04-06,1000000087,백리향 1단 (1호 2호 3호),463,0.24955999645750673,Broad,0.16667062193503362,None,91346320,0.3830055363765513,0.3136552268177844,0.0367170626349892,0.047516198704103674,0.0734341252699784,19,true,true
2026-04-06,1000000088,백리향 2단 (1호 2호),352,0.2135503482633896,Broad,0.2804368612789878,None,91264200,0.36505147438025315,0.08065318792792842,0.011363636363636364,0.011363636363636364,0.11363636363636363,18,true,true
2026-04-06,1000000089,백리향 3단,50,0.01926520855852659,Qualified,0.34716577720013897,Deep,20093420,0.053522506996604144,0.1388663108800556,0.04,0.04,0.08,7,true,true
2026-04-06,1000000090,일리향 1단 (1호 2호 3호),130,0.05673736979743281,None,0.0023253035512148666,None,33902320,0.12184177592404138,0,0,0,0.023076923076923078,11,true,true
2026-04-06,1000000091,일리향 2단 (1호 2호 3호),180,0.17282443635078162,None,0.16963188263836695,None,106293980,0.17965031425675762,0.12990218370267467,0.022222222222222223,0.022222222222222223,0.06111111111111111,13,true,true
2026-04-06,1000000092,일리향 3단,156,0.07404169614596641,None,0.12252463127500884,None,41394660,0.1345297730494137,0.07152560513117959,0.01282051282051282,0.01282051282051282,0.057692307692307696,12,true,true
2026-04-06,1000000093,매화 2송이 1호,704,0.6233275867084518,Broad,0.18318598998962143,None,238527840,0.3403583184615157,0.09538511783784641,0.011363636363636364,0.011363636363636364,0.11079545454545454,17,true,true
2026-04-06,1000000094,매화 3송이 1호,190,0.15897972424580242,None,0.17208586139199195,None,93608140,0.2105883905006708,0.12518702426794356,0.021052631578947368,0.021052631578947368,0.08421052631578947,12,true,true
2026-04-06,1000000095,매화 5송이 1호,7,0,None,0,None,5727000,0,0,0,0,0,1,true,true
2026-04-06,1000000108,매화 2송이 2호,247,0.2212413471851513,Broad,0.18836630851243066,None,119471300,0.21864194783937896,0.2084479223317424,0.032388663967611336,0.032388663967611336,0.09716599190283401,14,true,true
