product_id,order_cnt,attach_order_cnt,attach_rate,median_cart_size,breadth_lift,volume_raw,companion_cnt,top1_share,top3_share,co_order_total,top_pair_product_id,basket_pair_rows,distinct_member_cnt,quantity_sum,payment_amount_sum,raw_basket_pair_rows,raw_basket_top_pair_product_id,raw_basket_signal_score,parity_score,parity_level,reconstruction_level,limitation_reason,volume_weight,CA_Core,CA_Pair,CA_Set,CA_Primary_Type,Basket_Gravity_Primary_Type,basket_signal_score
1000000033,22,16,0.7272727272727273,2,1,3.1354942159291497,13,0.28125,0.46875,32,1000000035,13,15,27,1215000,560,1000000035,0.06605844423103306,0.3488095238095239,low,event_window_reconstructed,raw basket detail과의 유사도가 낮습니다.,0.391691102821974,false,false,false,None,None,0.06438631790744467
1000000069,44,38,0.8636363636363636,2,1,3.8066624897703196,17,0.25675675675675674,0.527027027027027,74,1000000064,17,31,55,2006100,736,1000000064,0.19049252297983263,0.348731884057971,low,event_window_reconstructed,raw basket detail과의 유사도가 낮습니다.,0.49932963148021925,false,false,false,None,None,0.1488933601609658
1000000112,41,9,0.21951219512195122,1,0,3.7376696182833684,7,0.45454545454545453,0.6363636363636364,11,1000000113,7,26,1701,19690200,668,1000000113,0.04314720812182741,0.34031936127744505,low,event_window_reconstructed,raw basket detail과의 유사도가 낮습니다.,0.48826490827412766,false,false,false,None,None,0.022132796780684104
1000000121,33,26,0.7878787878787878,3,2,3.5263605246161616,20,0.17105263157894737,0.4473684210526316,76,1000000045,20,24,62,1210000,768,1000000064,0.18459322266428865,0.017361111111111088,low,event_window_reconstructed,raw basket detail과의 유사도가 낮습니다.,0.4543762385903339,false,false,false,None,None,0.1529175050301811
1000000091,77,50,0.6493506493506493,2,1,4.356708826689592,21,0.12857142857142856,0.37142857142857144,70,1000000064,21,46,299,7857000,630,1000000064,0.12148442859102758,0.35555555555555546,low,event_window_reconstructed,raw basket detail과의 유사도가 낮습니다.,0.5875432445299011,false,false,false,None,None,0.14084507042253522
1000000035,41,29,0.7073170731707317,2,1,3.7376696182833684,17,0.17647058823529413,0.4117647058823529,68,1000000064,17,30,405,2430000,742,1000000064,0.1485114556180546,0.34860736747529203,low,event_window_reconstructed,raw basket detail과의 유사도가 낮습니다.,0.48826490827412766,false,false,false,None,None,0.13682092555331993
1000000142,14,12,0.8571428571428571,2.5,1.5,2.70805020110221,15,0.16,0.32,25,1000000045,15,13,17,272000,628,1000000064,0.061119495129647414,0.015923566878980926,low,event_window_reconstructed,raw basket detail과의 유사도가 낮습니다.,0.32313982196892077,false,false,false,None,None,0.05030181086519115
1000000156,52,11,0.21153846153846154,1,0,3.970291913552122,2,0.7272727272727273,1,11,1000000153,2,30,69,1981000,46,1000000153,0.01673754973247359,0.36231884057971014,low,event_window_reconstructed,raw basket detail과의 유사도가 낮습니다.,0.5255716800208475,false,false,false,None,None,0.022132796780684104
1000000044,78,68,0.8717948717948718,3,2,4.3694478524670215,19,0.24855491329479767,0.5202312138728323,173,1000000064,19,48,89,2979000,780,1000000064,0.36657977774729045,0.3495726495726495,low,event_window_reconstructed,raw basket detail과의 유사도가 낮습니다.,0.5895862642086688,false,false,false,None,None,0.34808853118712274
1000000072,4,4,1,3.5,2.5,1.6094379124341003,9,0.2,0.4,10,1000000127,9,4,4,100000,312,1000000044,0.0197557964055426,0.019230769230769235,low,event_window_reconstructed,raw basket detail과의 유사도가 낮습니다.,0.1469500124576223,false,false,false,None,None,0.02012072434607646
1000000110,27,15,0.5555555555555556,2,1,3.332204510175204,9,0.4666666666666667,0.6,15,1000000084,9,15,1429,9816100,572,1000000111,0.03669913568390726,0.010489510489510486,low,event_window_reconstructed,raw basket detail과의 유사도가 낮습니다.,0.4232384918595947,false,false,false,None,None,0.030181086519114688
1000000095,3,2,0.6666666666666666,2,1,1.3862943611198906,1,1,1,2,1000000085,1,2,512,5427200,48,1000000144,0.0020578954589106874,0.013888888888888914,low,event_window_reconstructed,raw basket detail과의 유사도가 낮습니다.,0.11116339309676558,false,true,false,Pair,Pair,0.004024144869215292
1000000070,13,11,0.8461538461538461,3,2,2.639057329615259,11,0.20689655172413793,0.5517241379310345,29,1000000064,11,8,15,340000,466,1000000043,0.0401289614487584,0.015736766809728204,low,event_window_reconstructed,raw basket detail과의 유사도가 낮습니다.,0.3120750987628292,false,false,false,None,None,0.05835010060362173
1000000027,6,6,1,3,2,1.9459101490553132,7,0.21428571428571427,0.5714285714285714,14,1000000071,7,5,7,274000,534,1000000042,0.03992317190286734,0.008739076154806513,low,event_window_reconstructed,raw basket detail과의 유사도가 낮습니다.,0.2009117056660636,false,false,false,None,None,0.028169014084507043
1000000071,10,9,0.9,3,2,2.3978952727983707,8,0.23809523809523808,0.5714285714285714,21,1000000064,8,8,15,400000,578,1000000064,0.06935107696529016,0.34256055363321797,low,event_window_reconstructed,raw basket detail과의 유사도가 낮습니다.,0.27339876381719236,false,false,false,None,None,0.04225352112676056
1000000028,1,1,1,3,2,0.6931471805599453,2,0.5,1,2,1000000045,2,1,1,20000,414,1000000071,0.02407737686925504,0.0032206119162641045,low,event_window_reconstructed,raw basket detail과의 유사도가 낮습니다.,0,false,false,false,None,None,0.004024144869215292
1000000089,17,2,0.11764705882352941,1,0,2.8903717578961645,2,0.5,1,2,1000000064,2,13,19,3267000,352,1000000088,0.019412813829057483,0.0037878787878788214,low,event_window_reconstructed,raw basket detail과의 유사도가 낮습니다.,0.35237961902259696,false,false,false,None,None,0.004024144869215292
