date,product_id,product_name,entry_axis,expansion_axis,convergence_axis,return_axis,basket_axis,brand_first_customer_cnt,structural_active_order_cnt,latest_order_date,basket_pair_rows,basket_top_pair_product_id
2026-04-06,1000000071,마스코바도 호박설기,0.004842758112494763,0.05575799671387668,0.023950257551822077,0.2416179857601323,0.06935107696529016,35,10,2026-03-20,578,1000000064
2026-04-06,1000000072,마스코바도 흑임자설기,0.0001522769644758907,0.015753596068873013,0.002479134236875667,0,0.0197557964055426,13,4,2026-03-17,312,1000000044
2026-04-06,1000000083,백설기,0.026748908540749516,0.12404698467852669,0.053917456545810837,0.275117328224029,0.1275895184524626,78,9,2026-03-07,836,1000000064
2026-04-06,1000000084,십리향 1단 (1호 2호 3호),0.06858121526947349,0.02448822513897196,0.15220343029354108,0.03703364696632001,0.09034161064617917,148,61,2026-03-22,642,1000000085
2026-04-06,1000000085,십리향 2단 (1호 2호 3호),0.16666201167645037,0.20037242056919496,0.21029300166262013,0.1745793540258106,0.12271916586637399,316,130,2026-03-22,802,1000000064
2026-04-06,1000000086,십리향 3단,0.10027560688375299,0.5566544318890125,0.21270246686747105,0.23746719302484,0.06660721635340924,199,88,2026-03-22,638,1000000064
2026-04-06,1000000087,백리향 1단 (1호 2호 3호),0.24955999645750673,0.16667062193503362,0.3830055363765513,0.3136552268177844,0.1365070654410756,463,225,2026-03-22,924,1000000064
2026-04-06,1000000088,백리향 2단 (1호 2호),0.2135503482633896,0.2804368612789878,0.36505147438025315,0.11363636363636363,0.10769652901632597,352,156,2026-03-21,716,1000000064
2026-04-06,1000000089,백리향 3단,0.01926520855852659,0.34716577720013897,0.053522506996604144,0.1388663108800556,0.019412813829057483,50,17,2026-03-19,352,1000000088
2026-04-06,1000000090,일리향 1단 (1호 2호 3호),0.05673736979743281,0.0023253035512148666,0.12184177592404138,0.023076923076923078,0.11071477568939497,130,62,2026-03-20,660,1000000091
2026-04-06,1000000091,일리향 2단 (1호 2호 3호),0.17282443635078162,0.16963188263836695,0.17965031425675762,0.12990218370267467,0.12148442859102758,180,85,2026-03-20,630,1000000064
2026-04-06,1000000092,일리향 3단,0.07404169614596641,0.12252463127500884,0.1345297730494137,0.07152560513117959,0.0706544107559336,156,84,2026-03-21,546,1000000064
2026-04-06,1000000093,매화 2송이 1호,0.6233275867084518,0.18318598998962143,0.3403583184615157,0.11079545454545454,0.1368500480175607,704,387,2026-03-20,734,1000000064
2026-04-06,1000000094,매화 3송이 1호,0.15897972424580242,0.17208586139199195,0.2105883905006708,0.12518702426794356,0.05631773905885581,190,102,2026-03-22,702,1000000064
2026-04-06,1000000095,매화 5송이 1호,0,0,0,0,0.0020578954589106874,7,3,2026-03-12,48,1000000144
2026-04-06,1000000108,매화 2송이 2호,0.2212413471851513,0.18836630851243066,0.21864194783937896,0.2084479223317424,0.06050212649197421,247,141,2026-03-22,534,1000000093
2026-04-06,1000000110,매화 3송이 2호,0.04043636004284884,0.07876222008653454,0.045334132737870333,0.08450704225352113,0.03669913568390726,71,28,2026-03-21,572,1000000111
2026-04-06,1000000111,매화 3송이 3호,0.3064779683976517,0.22000556023343537,0.29260287865837675,0.10119047619047619,0.08759775003429826,336,184,2026-03-22,638,1000000064
2026-04-06,1000000112,매화 5송이 2호,0.06695977109235784,0.09210614206279766,0.1078241825350095,0.1489563445800268,0.04314720812182741,93,50,2026-03-21,668,1000000113
2026-04-06,1000000113,매화 5송이 3호,0.07430097655597764,0.1266845322053535,0.0624129287714217,0.11346507535424663,0.0434215941830155,102,67,2026-03-19,598,1000000064
2026-04-06,1000000121,깨송편 1kg,0.05966277826246557,0.10431491739448423,0.15845344684166368,0.20872483926746987,0.18459322266428865,183,34,2026-03-07,768,1000000064
2026-04-06,1000000127,흑임자이티,0.09970985309352366,0.033978196202693094,0.03782795234182498,0.19380585858350655,0.42564137741802716,246,137,2026-03-22,826,1000000064
