as_of_date,window_days,role_state_primary,role_label,product_id,product_name,image_url,detail_url,window_revenue,share_in_role,share_in_brand_window,role_rank,revenue_source
2026-04-17,30,convergence,구매 집중,1000000043,모듬영양찰떡,https://godomall.speedycdn.net/a1ce4a197810c4cd52677b215337ca9e/goods/1000000043/image/list/1000000043_list_012.jpg,https://kricecake.com/goods/goods_view.php?goodsNo=1000000043,768000,0.08110676945823213,0.007636996075101106,4,window_metric_latest_snapshot
2026-04-17,30,,상태 미확인,1000000112,매화 5송이 2호,https://godomall.speedycdn.net/a1ce4a197810c4cd52677b215337ca9e/goods/1000000112/image/list/1000000112_list_032.jpg,https://kricecake.com/goods/goods_view.php?goodsNo=1000000112,5680200,0.35784844895799206,0.056483938939829816,1,window_metric_latest_snapshot
2026-04-17,30,,상태 미확인,1000000113,매화 5송이 3호,https://godomall.speedycdn.net/a1ce4a197810c4cd52677b215337ca9e/goods/1000000113/image/list/1000000113_list_070.jpg,https://kricecake.com/goods/goods_view.php?goodsNo=1000000113,5131000,0.32324925030869645,0.05102269122570804,2,window_metric_latest_snapshot
2026-04-17,30,,상태 미확인,1000000092,일리향 3단,https://godomall.speedycdn.net/a1ce4a197810c4cd52677b215337ca9e/goods/1000000092/image/list/1000000092_list_029.jpg,https://kricecake.com/goods/goods_view.php?goodsNo=1000000092,2673000,0.1683970465942595,0.026580326183262053,3,window_metric_latest_snapshot
2026-04-17,30,,상태 미확인,1000000090,일리향 1단 (1호 2호 3호),https://godomall.speedycdn.net/a1ce4a197810c4cd52677b215337ca9e/goods/1000000090/image/list/1000000090_list_073.jpg,https://kricecake.com/goods/goods_view.php?goodsNo=1000000090,2218000,0.1397323791044024,0.02205580376897689,4,window_metric_latest_snapshot
2026-04-17,30,,상태 미확인,1000000033,가래떡,https://godomall.speedycdn.net/a1ce4a197810c4cd52677b215337ca9e/goods/1000000033/image/list/1000000033_list_090.jpg,https://kricecake.com/goods/goods_view.php?goodsNo=1000000033,119000,0.007496913035808785,0.0011833366314284266,5,window_metric_latest_snapshot
2026-04-17,30,,상태 미확인,1000000074,경기 콩약과(10ea),https://godomall.speedycdn.net/a1ce4a197810c4cd52677b215337ca9e/goods/1000000074/image/list/1000000074_list_06.jpg,https://kricecake.com/goods/goods_view.php?goodsNo=1000000074,52000,0.0032759619988408134,0.000517088275918304,6,window_metric_latest_snapshot
2026-04-17,90,entry,첫구매 유도,1000000093,매화 2송이 1호,https://godomall.speedycdn.net/a1ce4a197810c4cd52677b215337ca9e/goods/1000000093/image/list/1000000093_list_057.jpg,https://kricecake.com/goods/goods_view.php?goodsNo=1000000093,84897100,0.5033620874172374,0.2239243811338979,1,window_metric_latest_snapshot
2026-04-17,90,entry,첫구매 유도,1000000064,2색 이티,https://godomall.speedycdn.net/a1ce4a197810c4cd52677b215337ca9e/goods/1000000064/image/list/1000000064_list_053.jpg,https://kricecake.com/goods/goods_view.php?goodsNo=1000000064,83763000,0.49663791258276263,0.22093308177686505,2,window_metric_latest_snapshot
2026-04-17,90,expansion,단골 유도,1000000094,매화 3송이 1호,https://godomall.speedycdn.net/a1ce4a197810c4cd52677b215337ca9e/goods/1000000094/image/list/1000000094_list_039.jpg,https://kricecake.com/goods/goods_view.php?goodsNo=1000000094,26388700,0.3519140855250699,0.06960276989942049,1,window_metric_latest_snapshot
2026-04-17,90,expansion,단골 유도,1000000088,백리향 2단 (1호 2호),https://godomall.speedycdn.net/a1ce4a197810c4cd52677b215337ca9e/goods/1000000088/image/list/1000000088_list_033.jpg,https://kricecake.com/goods/goods_view.php?goodsNo=1000000088,25122000,0.3350216439824928,0.0662617251101131,2,window_metric_latest_snapshot
2026-04-17,90,expansion,단골 유도,1000000085,십리향 2단 (1호 2호 3호),https://godomall.speedycdn.net/a1ce4a197810c4cd52677b215337ca9e/goods/1000000085/image/list/1000000085_list_069.jpg,https://kricecake.com/goods/goods_view.php?goodsNo=1000000085,15632500,0.20847169212468428,0.04123224336373868,3,window_metric_latest_snapshot
2026-04-17,90,expansion,단골 유도,1000000086,십리향 3단,https://godomall.speedycdn.net/a1ce4a197810c4cd52677b215337ca9e/goods/1000000086/image/list/1000000086_list_048.jpg,https://kricecake.com/goods/goods_view.php?goodsNo=1000000086,7843000,0.104592578367753,0.020686677415755795,4,window_metric_latest_snapshot
2026-04-17,90,return,반복 구매,1000000063,쑥이티,https://godomall.speedycdn.net/a1ce4a197810c4cd52677b215337ca9e/goods/1000000063/image/list/1000000063_list_055.jpg,https://kricecake.com/goods/goods_view.php?goodsNo=1000000063,10601500,0.47249025069637884,0.027962490198028184,1,window_metric_latest_snapshot
2026-04-17,90,return,반복 구매,1000000045,완두시루떡,https://godomall.speedycdn.net/a1ce4a197810c4cd52677b215337ca9e/goods/1000000045/image/list/1000000045_list_095.jpg,https://kricecake.com/goods/goods_view.php?goodsNo=1000000045,7188000,0.32035654596100277,0.01895905103461082,2,window_metric_latest_snapshot
2026-04-17,90,return,반복 구매,1000000044,고구마찰떡,https://godomall.speedycdn.net/a1ce4a197810c4cd52677b215337ca9e/goods/1000000044/image/list/1000000044_list_088.jpg,https://kricecake.com/goods/goods_view.php?goodsNo=1000000044,3596000,0.16026740947075208,0.00948480071236234,3,window_metric_latest_snapshot
2026-04-17,90,return,반복 구매,1000000083,백설기,https://godomall.speedycdn.net/a1ce4a197810c4cd52677b215337ca9e/goods/1000000083/image/list/1000000083_list_054.jpg,https://kricecake.com/goods/goods_view.php?goodsNo=1000000083,1052000,0.046885793871866296,0.0027747525999458236,4,window_metric_latest_snapshot
2026-04-17,90,convergence,구매 집중,1000000087,백리향 1단 (1호 2호 3호),https://godomall.speedycdn.net/a1ce4a197810c4cd52677b215337ca9e/goods/1000000087/image/list/1000000087_list_067.jpg,https://kricecake.com/goods/goods_view.php?goodsNo=1000000087,30755000,0.6048894658170089,0.0811193119879599,1,window_metric_latest_snapshot
2026-04-17,90,convergence,구매 집중,1000000062,흰이티,https://godomall.speedycdn.net/a1ce4a197810c4cd52677b215337ca9e/goods/1000000062/image/list/1000000062_list_062.jpg,https://kricecake.com/goods/goods_view.php?goodsNo=1000000062,11524500,0.22666391314609394,0.030396992716801945,2,window_metric_latest_snapshot
2026-04-17,90,convergence,구매 집중,1000000042,약식,https://godomall.speedycdn.net/a1ce4a197810c4cd52677b215337ca9e/goods/1000000042/image/list/1000000042_list_03.jpg,https://kricecake.com/goods/goods_view.php?goodsNo=1000000042,4889500,0.09616670600267485,0.01289653311543261,3,window_metric_latest_snapshot
2026-04-17,90,convergence,구매 집중,1000000043,모듬영양찰떡,https://godomall.speedycdn.net/a1ce4a197810c4cd52677b215337ca9e/goods/1000000043/image/list/1000000043_list_012.jpg,https://kricecake.com/goods/goods_view.php?goodsNo=1000000043,3675000,0.07227991503422233,0.009693170917111124,4,window_metric_latest_snapshot
2026-04-17,90,,상태 미확인,1000000113,매화 5송이 3호,https://godomall.speedycdn.net/a1ce4a197810c4cd52677b215337ca9e/goods/1000000113/image/list/1000000113_list_070.jpg,https://kricecake.com/goods/goods_view.php?goodsNo=1000000113,24077500,0.3870663337893517,0.06350675449163078,1,window_metric_latest_snapshot
2026-04-17,90,,상태 미확인,1000000112,매화 5송이 2호,https://godomall.speedycdn.net/a1ce4a197810c4cd52677b215337ca9e/goods/1000000112/image/list/1000000112_list_032.jpg,https://kricecake.com/goods/goods_view.php?goodsNo=1000000112,20720600,0.3331013051984484,0.05465260334832456,2,window_metric_latest_snapshot
2026-04-17,90,,상태 미확인,1000000090,일리향 1단 (1호 2호 3호),https://godomall.speedycdn.net/a1ce4a197810c4cd52677b215337ca9e/goods/1000000090/image/list/1000000090_list_073.jpg,https://kricecake.com/goods/goods_view.php?goodsNo=1000000090,8367000,0.13450665620664543,0.022068778520671774,3,window_metric_latest_snapshot
2026-04-17,90,,상태 미확인,1000000092,일리향 3단,https://godomall.speedycdn.net/a1ce4a197810c4cd52677b215337ca9e/goods/1000000092/image/list/1000000092_list_029.jpg,https://kricecake.com/goods/goods_view.php?goodsNo=1000000092,7924000,0.1273850536370812,0.02090032281556151,4,window_metric_latest_snapshot
2026-04-17,90,,상태 미확인,1000000033,가래떡,https://godomall.speedycdn.net/a1ce4a197810c4cd52677b215337ca9e/goods/1000000033/image/list/1000000033_list_090.jpg,https://kricecake.com/goods/goods_view.php?goodsNo=1000000033,1064000,0.017104706848795358,0.002806403770287411,5,window_metric_latest_snapshot
2026-04-17,90,,상태 미확인,1000000074,경기 콩약과(10ea),https://godomall.speedycdn.net/a1ce4a197810c4cd52677b215337ca9e/goods/1000000074/image/list/1000000074_list_06.jpg,https://kricecake.com/goods/goods_view.php?goodsNo=1000000074,52000,0.0008359443196779685,0.00013715507148021183,6,window_metric_latest_snapshot
