date,product_id,product_name_latest,convergence_gravity_score,return_gravity_score,distinct_source_product_cnt_90d,return_customer_rate_90d,return_loop_rate_90d,simple_repeat_rate_90d
2026-04-14,1000000043,모듬영양찰떡,3.8650909059736877E-1,3.4246445633488E-1,19,4.040404040404041E-2,6.565656565656566E-2,6.565656565656566E-2
2026-04-14,1000000044,고구마찰떡,2.551588508008249E-1,3.60245603981502E-1,17,4.929577464788732E-2,7.042253521126761E-2,2.8169014084507043E-2
2026-04-14,1000000045,완두시루떡,4.430701488100352E-1,5.240216310327779E-1,23,6.0897435897435896E-2,8.333333333333333E-2,6.73076923076923E-2
2026-04-14,1000000062,흰이티,2.651733364397053E-1,1.1797419550486199E-1,12,1.6736401673640166E-2,1.6736401673640166E-2,2.9288702928870293E-2
2026-04-14,1000000063,쑥이티,1.7581136295278318E-1,2.732480267946731E-1,11,3.691275167785235E-2,3.691275167785235E-2,4.0268456375838924E-2
2026-04-14,1000000064,2색 이티,1,1.8227290916366545E-1,31,1.6206482593037214E-2,2.040816326530612E-2,8.343337334933974E-2
2026-04-14,1000000065,흰인절미,4.441219857190325E-2,4.3931566632172775E-1,4,8.0E-2,1.2E-1,2.0E-2
2026-04-14,1000000066,쑥인절미,9.738355444141372E-3,3.2669636392917367E-1,1,4.597701149425287E-2,8.045977011494253E-2,1.1494252873563218E-2
2026-04-14,1000000069,설기세트,3.3640794724091774E-2,2.4767245188390086E-1,3,3.9603960396039604E-2,4.950495049504951E-2,0
2026-04-14,1000000070,마스코바도 쑥설기,1.3526831647177925E-2,1.4543495500277426E-1,2,4.3478260869565216E-2,4.3478260869565216E-2,4.3478260869565216E-2
2026-04-14,1000000071,마스코바도 호박설기,3.277198218730692E-2,3.367760087348367E-1,2,8.333333333333333E-2,8.333333333333333E-2,0
2026-04-14,1000000072,마스코바도 흑임자설기,5.752008123091397E-3,0,1,0,0,0
2026-04-14,1000000074,경기 콩약과(10ea),0,0,0,0,0,0
2026-04-14,1000000083,백설기,6.517758121508216E-2,3.3727490914862374E-1,6,6.41025641025641E-2,6.41025641025641E-2,1.282051282051282E-2
2026-04-14,1000000084,십리향 1단 (1호 2호 3호),1.9627522080747675E-1,4.24469402613064E-2,15,6.756756756756757E-3,6.756756756756757E-3,2.702702702702703E-2
2026-04-14,1000000085,십리향 2단 (1호 2호 3호),2.268259036413312E-1,1.8699965165561971E-1,12,2.4844720496894408E-2,2.4844720496894408E-2,5.5900621118012424E-2
2026-04-14,1000000086,십리향 3단,2.2271347736200478E-1,2.9713434347478934E-1,14,3.980099502487562E-2,4.975124378109453E-2,1.0945273631840796E-1
2026-04-14,1000000087,백리향 1단 (1호 2호 3호),4.029141755724459E-1,3.3774583307971245E-1,19,3.728070175438596E-2,4.824561403508772E-2,7.236842105263158E-2
2026-04-14,1000000088,백리향 2단 (1호 2호),3.603315942137371E-1,8.657147824982821E-2,17,1.1267605633802818E-2,1.1267605633802818E-2,1.0985915492957747E-1
2026-04-14,1000000089,백리향 3단,5.728993674254401E-2,1.7995147203136544E-1,6,3.92156862745098E-2,3.92156862745098E-2,7.84313725490196E-2
2026-04-14,1000000090,일리향 1단 (1호 2호 3호),1.3910443757220856E-1,0,11,0,0,2.3255813953488372E-2
2026-04-14,1000000091,일리향 2단 (1호 2호 3호),2.0025540118922266E-1,1.453358235157497E-1,13,2.197802197802198E-2,2.197802197802198E-2,6.043956043956044E-2
2026-04-14,1000000092,일리향 3단,1.383871382382378E-1,8.281361194992178E-2,11,1.3071895424836602E-2,1.3071895424836602E-2,5.8823529411764705E-2
2026-04-14,1000000093,매화 2송이 1호,3.5083620766836515E-1,1.1149807371944379E-1,17,1.267605633802817E-2,1.267605633802817E-2,1.0985915492957747E-1
2026-04-14,1000000094,매화 3송이 1호,1.566771523127404E-1,1.0635119704469957E-1,11,1.5957446808510637E-2,1.5957446808510637E-2,9.042553191489362E-2
2026-04-14,1000000108,매화 2송이 2호,2.3717368248154885E-1,2.3001470820783043E-1,14,3.2388663967611336E-2,3.2388663967611336E-2,1.0121457489878542E-1
2026-04-14,1000000110,매화 3송이 2호,5.627483264446905E-2,7.131149001441332E-2,5,1.3888888888888888E-2,1.3888888888888888E-2,9.722222222222222E-2
2026-04-14,1000000111,매화 3송이 3호,2.9288576718330456E-1,8.957612915203034E-2,17,1.1764705882352941E-2,1.1764705882352941E-2,1.0E-1
2026-04-14,1000000112,매화 5송이 2호,8.554884763893154E-2,1.7605284026651621E-1,7,3.1578947368421054E-2,3.1578947368421054E-2,3.1578947368421054E-2
2026-04-14,1000000113,매화 5송이 3호,7.341541393377185E-2,1.3252145798410356E-1,7,1.9230769230769232E-2,2.8846153846153848E-2,7.692307692307693E-2
2026-04-14,1000000121,깨송편 1kg,1.7632549719261426E-1,2.3274451263327062E-1,11,2.1739130434782608E-2,5.434782608695652E-2,9.239130434782608E-2
2026-04-14,1000000127,흑임자이티,8.490200594374946E-2,2.123807628951327E-1,6,2.8225806451612902E-2,3.225806451612903E-2,8.064516129032258E-3
2026-04-14,1000000128,흑임자인절미,2.289723803477392E-2,7.986395856624416E-2,2,1.639344262295082E-2,1.639344262295082E-2,0
2026-04-14,1000000142,경기 미숫가루,1.4907350893452727E-2,0,2,0,0,0
2026-04-14,1000000143,"경기참기름, 경기들기름",1.580035752359896E-2,1.3594117562537736E-1,2,3.8461538461538464E-2,3.8461538461538464E-2,0
2026-04-14,1000000153,유밀상,8.137293413961402E-2,0,8,0,0,5.454545454545454E-2
2026-04-14,1000000154,화연상,9.39739343452287E-3,0,1,0,0,1.0526315789473684E-1
2026-04-14,1000000156,기원상,7.244632649772026E-2,7.271058404520561E-2,6,1.4285714285714285E-2,1.4285714285714285E-2,1.4285714285714285E-1
2026-04-15,1000000027,마스코바도 설기,3.988755957111998E-2,0,7,0,0,1.25E-1
2026-04-15,1000000028,마스코바도 딸기설기,2.9878442167096845E-2,1.5639493361692852E-1,6,6.666666666666667E-2,6.666666666666667E-2,6.666666666666667E-2
2026-04-15,1000000033,가래떡,8.178881895995121E-2,0,9,0,0,6.382978723404255E-2
2026-04-15,1000000035,떡국떡 500g,1.47664787967704E-1,1.9584210259309073E-1,13,3.896103896103896E-2,3.896103896103896E-2,1.2987012987012988E-2
2026-04-15,1000000042,약식,4.472968195408402E-1,1.5209633617982143E-1,21,2.1164021164021163E-2,2.6455026455026454E-2,1.111111111111111E-1
2026-04-15,1000000043,모듬영양찰떡,3.774220411897739E-1,3.326647666369255E-1,19,4.020100502512563E-2,6.532663316582915E-2,6.532663316582915E-2
2026-04-15,1000000044,고구마찰떡,2.600527073437727E-1,3.4773307524763486E-1,18,4.895104895104895E-2,6.993006993006994E-2,2.7972027972027972E-2
2026-04-15,1000000045,완두시루떡,4.3511388917568866E-1,5.180738676517332E-1,23,6.129032258064516E-2,8.387096774193549E-2,6.451612903225806E-2
2026-04-15,1000000062,흰이티,2.59507360650026E-1,1.1595913337857576E-1,12,1.6736401673640166E-2,1.6736401673640166E-2,2.9288702928870293E-2
2026-04-15,1000000063,쑥이티,1.7237874966617273E-1,2.7088095329626266E-1,11,3.7162162162162164E-2,3.7162162162162164E-2,4.054054054054054E-2
2026-04-15,1000000064,2색 이티,1,1.825980392156863E-1,31,1.6206482593037214E-2,2.040816326530612E-2,8.343337334933974E-2
2026-04-15,1000000065,흰인절미,4.12002258623171E-2,4.186878222191893E-1,4,8.163265306122448E-2,1.2244897959183673E-1,2.040816326530612E-2
2026-04-15,1000000066,쑥인절미,9.402160439105788E-3,3.078384225379943E-1,1,4.49438202247191E-2,7.865168539325842E-2,1.1235955056179775E-2
2026-04-15,1000000069,설기세트,3.24774348575216E-2,2.371292449202858E-1,3,3.92156862745098E-2,4.9019607843137254E-2,0
2026-04-15,1000000070,마스코바도 쑥설기,1.220151063936255E-2,1.3182881696821785E-1,2,4.3478260869565216E-2,4.3478260869565216E-2,4.3478260869565216E-2
2026-04-15,1000000071,마스코바도 호박설기,3.0776342722267095E-2,3.088942345080032E-1,2,8.108108108108109E-2,8.108108108108109E-2,0
2026-04-15,1000000072,마스코바도 흑임자설기,4.934614339569688E-3,0,1,0,0,0
2026-04-15,1000000074,경기 콩약과(10ea),0,0,0,0,0,0
2026-04-15,1000000083,백설기,6.2238293346415965E-2,3.236007232754677E-1,6,6.41025641025641E-2,6.41025641025641E-2,1.282051282051282E-2
2026-04-15,1000000084,십리향 1단 (1호 2호 3호),1.901381168943485E-1,4.156796496418492E-2,15,6.802721088435374E-3,6.802721088435374E-3,2.7210884353741496E-2
2026-04-15,1000000085,십리향 2단 (1호 2호 3호),2.2381790607190097E-1,1.6077569818408605E-1,12,2.1604938271604937E-2,2.1604938271604937E-2,5.864197530864197E-2
2026-04-15,1000000086,십리향 3단,2.154504179575568E-1,2.794384039750174E-1,14,4.020100502512563E-2,4.522613065326633E-2,1.1055276381909548E-1
2026-04-15,1000000087,백리향 1단 (1호 2호 3호),3.9745485567839844E-1,3.15969958486497E-1,19,3.50109409190372E-2,4.5951859956236324E-2,7.221006564551423E-2
2026-04-15,1000000088,백리향 2단 (1호 2호),3.55230883856314E-1,8.558635775128855E-2,17,1.1267605633802818E-2,1.1267605633802818E-2,1.0985915492957747E-1
2026-04-15,1000000089,백리향 3단,5.4022714203302354E-2,1.702147129623888E-1,6,3.92156862745098E-2,3.92156862745098E-2,7.84313725490196E-2
2026-04-15,1000000090,일리향 1단 (1호 2호 3호),1.2065071064838155E-1,0,10,0,0,2.3622047244094488E-2
2026-04-15,1000000091,일리향 2단 (1호 2호 3호),1.9504221422309584E-1,1.4277201830876513E-1,13,2.2099447513812154E-2,2.2099447513812154E-2,6.077348066298342E-2
