order_id,order_at,product_id,member_id,event_type,quantity,payment_amount
2603202249318887,2026-03-20 13:49:31.000 UTC,1000000093,66445,purchase,55,264000.000000
2603202254441868,2026-03-20 13:54:44.000 UTC,1000000093,66445,purchase,35,168000.000000
2603202332467109,2026-03-20 14:32:46.000 UTC,1000000042,66425,purchase,1,22500.000000
2603202332467109,2026-03-20 14:32:46.000 UTC,1000000063,66425,purchase,1,23500.000000
2603202338547830,2026-03-20 14:38:54.000 UTC,1000000062,66449,purchase,1,21000.000000
2603202338547830,2026-03-20 14:38:54.000 UTC,1000000063,66449,purchase,1,23500.000000
2603202338547830,2026-03-20 14:38:54.000 UTC,1000000127,66449,purchase,1,23500.000000
2603210059218251,2026-03-20 15:59:21.000 UTC,1000000092,66451,purchase,1,37000.000000
2603210059218251,2026-03-20 15:59:21.000 UTC,1000000093,66451,purchase,10,47000.000000
2603210913549172,2026-03-21 00:13:55.000 UTC,1000000064,66322,purchase,1,43000.000000
2603210913549172,2026-03-21 00:13:55.000 UTC,1000000064,66322,purchase,1,22000.000000
2603210949357973,2026-03-21 00:49:35.000 UTC,1000000064,66453,purchase,5,110000.000000
2603211212245234,2026-03-21 03:12:24.000 UTC,1000000087,66457,purchase,1,57000.000000
2603211212245234,2026-03-21 03:12:24.000 UTC,1000000087,66457,purchase,1,65000.000000
2603211216595725,2026-03-21 03:16:59.000 UTC,1000000063,66458,purchase,1,46000.000000
2603211216595725,2026-03-21 03:16:59.000 UTC,1000000127,66458,purchase,1,23500.000000
2603211216595725,2026-03-21 03:16:59.000 UTC,1000000127,66458,purchase,1,46000.000000
2603211313325726,2026-03-21 04:13:32.000 UTC,1000000062,66459,purchase,1,21000.000000
2603211313325726,2026-03-21 04:13:32.000 UTC,1000000064,66459,purchase,1,43000.000000
2603211338073337,2026-03-21 04:38:07.000 UTC,1000000087,35767,purchase,1,57000.000000
2603211343405278,2026-03-21 04:43:40.000 UTC,1000000087,35767,purchase,1,57000.000000
2603211414538409,2026-03-21 05:14:53.000 UTC,1000000069,66460,purchase,1,38920.000000
2603211414538409,2026-03-21 05:14:53.000 UTC,1000000143,66460,purchase,1,59000.000000
2603211509548290,2026-03-21 06:09:54.000 UTC,1000000042,0,purchase,1,87500.000000
2603211509548290,2026-03-21 06:09:54.000 UTC,1000000069,0,purchase,1,18920.000000
2603211615226311,2026-03-21 07:15:22.000 UTC,1000000092,0,purchase,1,38000.000000
2603211635212322,2026-03-21 07:35:21.000 UTC,1000000092,0,purchase,1,37000.000000
2603211659038663,2026-03-21 07:59:04.000 UTC,1000000088,66464,purchase,1,116000.000000
2603211724178324,2026-03-21 08:24:17.000 UTC,1000000085,66462,purchase,1,54500.000000
2603211734343395,2026-03-21 08:34:34.000 UTC,1000000108,66465,purchase,65,292500.000000
2603211734359036,2026-03-21 08:34:35.000 UTC,1000000108,66465,purchase,65,292500.000000
2603211746518857,2026-03-21 08:46:52.000 UTC,1000000108,65943,purchase,100,460000.000000
2603211853148078,2026-03-21 09:53:14.000 UTC,1000000110,66467,purchase,180,1242000.000000
2603211853148078,2026-03-21 09:53:14.000 UTC,1000000112,66467,purchase,20,230000.000000
2603211931002469,2026-03-21 10:31:00.000 UTC,1000000087,65734,purchase,2,114000.000000
