as_of_date,window_key,window_days,period_label,product_id,product_name,product_image_url,revenue_segment,role_taxonomy,priority_level,brand_score_status
2026-04-18,1d,1,하루 기준,1000000091,일리향 2단 (1호 2호 3호),https://godomall.speedycdn.net/a1ce4a197810c4cd52677b215337ca9e/goods/1000000091/image/list/1000000091_list_092.jpg,유지,재구매확장기여,정상 유지,limited
2026-04-18,7d,7,최근 7일,1000000091,일리향 2단 (1호 2호 3호),https://godomall.speedycdn.net/a1ce4a197810c4cd52677b215337ca9e/goods/1000000091/image/list/1000000091_list_092.jpg,증가,재구매확장기여,정상 유지,limited
2026-04-18,30d,30,최근 30일,1000000091,일리향 2단 (1호 2호 3호),https://godomall.speedycdn.net/a1ce4a197810c4cd52677b215337ca9e/goods/1000000091/image/list/1000000091_list_092.jpg,감소,재구매확장기여,즉시 확인,limited
2026-04-18,1d,1,하루 기준,1000000089,백리향 3단,https://godomall.speedycdn.net/a1ce4a197810c4cd52677b215337ca9e/goods/1000000089/image/list/1000000089_list_027.jpg,유지,재구매확장기여,정상 유지,limited
2026-04-18,7d,7,최근 7일,1000000089,백리향 3단,https://godomall.speedycdn.net/a1ce4a197810c4cd52677b215337ca9e/goods/1000000089/image/list/1000000089_list_027.jpg,유지,재구매확장기여,정상 유지,limited
2026-04-18,30d,30,최근 30일,1000000089,백리향 3단,https://godomall.speedycdn.net/a1ce4a197810c4cd52677b215337ca9e/goods/1000000089/image/list/1000000089_list_027.jpg,증가,재구매확장기여,정상 유지,limited
2026-04-18,1d,1,하루 기준,1000000063,쑥이티,https://godomall.speedycdn.net/a1ce4a197810c4cd52677b215337ca9e/goods/1000000063/image/list/1000000063_list_055.jpg,감소,동시구매기여,즉시 확인,limited
2026-04-18,7d,7,최근 7일,1000000063,쑥이티,https://godomall.speedycdn.net/a1ce4a197810c4cd52677b215337ca9e/goods/1000000063/image/list/1000000063_list_055.jpg,감소,동시구매기여,즉시 확인,limited
2026-04-18,30d,30,최근 30일,1000000063,쑥이티,https://godomall.speedycdn.net/a1ce4a197810c4cd52677b215337ca9e/goods/1000000063/image/list/1000000063_list_055.jpg,유지,동시구매기여,정상 유지,limited
2026-04-18,1d,1,하루 기준,1000000086,십리향 3단,https://godomall.speedycdn.net/a1ce4a197810c4cd52677b215337ca9e/goods/1000000086/image/list/1000000086_list_048.jpg,유지,재구매확장기여,정상 유지,limited
2026-04-18,7d,7,최근 7일,1000000086,십리향 3단,https://godomall.speedycdn.net/a1ce4a197810c4cd52677b215337ca9e/goods/1000000086/image/list/1000000086_list_048.jpg,감소,재구매확장기여,즉시 확인,limited
2026-04-18,30d,30,최근 30일,1000000086,십리향 3단,https://godomall.speedycdn.net/a1ce4a197810c4cd52677b215337ca9e/goods/1000000086/image/list/1000000086_list_048.jpg,증가,재구매확장기여,정상 유지,limited
2026-04-18,1d,1,하루 기준,1000000062,흰이티,https://godomall.speedycdn.net/a1ce4a197810c4cd52677b215337ca9e/goods/1000000062/image/list/1000000062_list_062.jpg,증가,동시구매기여,정상 유지,limited
2026-04-18,7d,7,최근 7일,1000000062,흰이티,https://godomall.speedycdn.net/a1ce4a197810c4cd52677b215337ca9e/goods/1000000062/image/list/1000000062_list_062.jpg,증가,동시구매기여,정상 유지,limited
2026-04-18,30d,30,최근 30일,1000000062,흰이티,https://godomall.speedycdn.net/a1ce4a197810c4cd52677b215337ca9e/goods/1000000062/image/list/1000000062_list_062.jpg,감소,동시구매기여,주의 관찰,limited
2026-04-18,1d,1,하루 기준,1000000090,일리향 1단 (1호 2호 3호),https://godomall.speedycdn.net/a1ce4a197810c4cd52677b215337ca9e/goods/1000000090/image/list/1000000090_list_073.jpg,유지,동시구매기여,정상 유지,limited
2026-04-18,7d,7,최근 7일,1000000090,일리향 1단 (1호 2호 3호),https://godomall.speedycdn.net/a1ce4a197810c4cd52677b215337ca9e/goods/1000000090/image/list/1000000090_list_073.jpg,감소,재구매확장기여,즉시 확인,limited
2026-04-18,30d,30,최근 30일,1000000090,일리향 1단 (1호 2호 3호),https://godomall.speedycdn.net/a1ce4a197810c4cd52677b215337ca9e/goods/1000000090/image/list/1000000090_list_073.jpg,감소,동시구매기여,즉시 확인,limited
2026-04-18,1d,1,하루 기준,1000000084,십리향 1단 (1호 2호 3호),https://godomall.speedycdn.net/a1ce4a197810c4cd52677b215337ca9e/goods/1000000084/image/list/1000000084_list_028.jpg,유지,재구매확장기여,정상 유지,limited
2026-04-18,7d,7,최근 7일,1000000084,십리향 1단 (1호 2호 3호),https://godomall.speedycdn.net/a1ce4a197810c4cd52677b215337ca9e/goods/1000000084/image/list/1000000084_list_028.jpg,증가,재구매확장기여,정상 유지,limited
2026-04-18,30d,30,최근 30일,1000000084,십리향 1단 (1호 2호 3호),https://godomall.speedycdn.net/a1ce4a197810c4cd52677b215337ca9e/goods/1000000084/image/list/1000000084_list_028.jpg,감소,재구매확장기여,즉시 확인,limited
2026-04-18,1d,1,하루 기준,1000000045,완두시루떡,https://godomall.speedycdn.net/a1ce4a197810c4cd52677b215337ca9e/goods/1000000045/image/list/1000000045_list_095.jpg,감소,동시구매기여,즉시 확인,limited
2026-04-18,7d,7,최근 7일,1000000045,완두시루떡,https://godomall.speedycdn.net/a1ce4a197810c4cd52677b215337ca9e/goods/1000000045/image/list/1000000045_list_095.jpg,증가,동시구매기여,정상 유지,limited
2026-04-18,30d,30,최근 30일,1000000045,완두시루떡,https://godomall.speedycdn.net/a1ce4a197810c4cd52677b215337ca9e/goods/1000000045/image/list/1000000045_list_095.jpg,증가,동시구매기여,정상 유지,limited
2026-04-18,1d,1,하루 기준,1000000042,약식,https://godomall.speedycdn.net/a1ce4a197810c4cd52677b215337ca9e/goods/1000000042/image/list/1000000042_list_03.jpg,유지,동시구매기여,정상 유지,limited
2026-04-18,7d,7,최근 7일,1000000042,약식,https://godomall.speedycdn.net/a1ce4a197810c4cd52677b215337ca9e/goods/1000000042/image/list/1000000042_list_03.jpg,증가,동시구매기여,정상 유지,limited
2026-04-18,30d,30,최근 30일,1000000042,약식,https://godomall.speedycdn.net/a1ce4a197810c4cd52677b215337ca9e/goods/1000000042/image/list/1000000042_list_03.jpg,유지,동시구매기여,정상 유지,limited
2026-04-18,1d,1,하루 기준,1000000127,흑임자이티,https://godomall.speedycdn.net/a1ce4a197810c4cd52677b215337ca9e/goods/1000000127/image/list/1000000127_list_053.jpg,유지,동시구매기여,정상 유지,limited
