as_of_date,product_id,product_name,product_image_url,priority_level,priority_sort_score,revenue_change_rate_30d,revenue_30d_compare_state,revenue_30d_compare_note,revenue_reason,role_taxonomy,role_reason,role_evidence_status,brand_score_status,brand_score_reason,revenue_freshness_max_date,role_freshness_max_date,brand_revenue_30d_current,brand_revenue_30d_previous,brand_revenue_30d_delta_rate
2026-04-18,1000000069,설기세트,https://godomall.speedycdn.net/a1ce4a197810c4cd52677b215337ca9e/goods/1000000069/image/list/1000000069_list_033.jpg,정상 유지,-69724000,2.6336486184553514,available,직전 동일 길이 기간과 비교 가능합니다.,최근 30일 매출이 직전기간 대비 263.4%,동시구매기여,동시구매기여 기준 score 0.19,available,limited,브랜드 점수 참고용,2026-04-18,2026-04-18,161962180,195510440,-0.17159318960153738
2026-04-18,1000000028,마스코바도 딸기설기,https://godomall.speedycdn.net/a1ce4a197810c4cd52677b215337ca9e/goods/1000000028/image/list/1000000028_list_04.jpg,정상 유지,-81800000,0,available,직전 동일 길이 기간과 비교 가능합니다.,최근 30일 매출이 직전기간 대비 0.0%,반복구매기여,반복구매기여 기준 score 0.15,available,limited,브랜드 점수 참고용,2026-04-18,2026-04-18,161962180,195510440,-0.17159318960153738
2026-04-18,1000000066,쑥인절미,https://godomall.speedycdn.net/a1ce4a197810c4cd52677b215337ca9e/goods/1000000066/image/list/1000000066_list_042.jpg,정상 유지,-10200000,0.15719298245614036,available,직전 동일 길이 기간과 비교 가능합니다.,최근 30일 매출이 직전기간 대비 15.7%,반복구매기여,반복구매기여 기준 score 0.30,available,limited,브랜드 점수 참고용,2026-04-18,2026-04-18,161962180,195510440,-0.17159318960153738
2026-04-18,1000000043,모듬영양찰떡,https://godomall.speedycdn.net/a1ce4a197810c4cd52677b215337ca9e/goods/1000000043/image/list/1000000043_list_012.jpg,즉시 확인,38100000,-0.34110787172011664,available,직전 동일 길이 기간과 비교 가능합니다.,최근 30일 매출이 직전기간 대비 -34.1%,동시구매기여,동시구매기여 기준 score 0.49,available,limited,브랜드 점수 참고용,2026-04-18,2026-04-18,161962180,195510440,-0.17159318960153738
2026-04-18,1000000083,백설기,https://godomall.speedycdn.net/a1ce4a197810c4cd52677b215337ca9e/goods/1000000083/image/list/1000000083_list_054.jpg,정상 유지,-50200000,5.688888888888889,available,직전 동일 길이 기간과 비교 가능합니다.,최근 30일 매출이 직전기간 대비 568.9%,반복구매기여,반복구매기여 기준 score 0.32,available,limited,브랜드 점수 참고용,2026-04-18,2026-04-18,161962180,195510440,-0.17159318960153738
2026-04-18,1000000156,기원상,https://godomall.speedycdn.net/a1ce4a197810c4cd52677b215337ca9e/goods/1000000156/image/list/1000000156_list_085.jpg,주의 관찰,10700000,-0.15789473684210525,available,직전 동일 길이 기간과 비교 가능합니다.,최근 30일 매출이 직전기간 대비 -15.8%,재구매확장기여,재구매확장기여 기준 score 0.19,available,limited,브랜드 점수 참고용,2026-04-18,2026-04-18,161962180,195510440,-0.17159318960153738
2026-04-18,1000000071,마스코바도 호박설기,https://godomall.speedycdn.net/a1ce4a197810c4cd52677b215337ca9e/goods/1000000071/image/list/1000000071_list_020.jpg,정상 유지,-10100000,1.11,available,직전 동일 길이 기간과 비교 가능합니다.,최근 30일 매출이 직전기간 대비 111.0%,반복구매기여,반복구매기여 기준 score 0.30,available,limited,브랜드 점수 참고용,2026-04-18,2026-04-18,161962180,195510440,-0.17159318960153738
2026-04-18,1000000070,마스코바도 쑥설기,https://godomall.speedycdn.net/a1ce4a197810c4cd52677b215337ca9e/goods/1000000070/image/list/1000000070_list_027.jpg,정상 유지,-3100000,0.3416666666666667,available,직전 동일 길이 기간과 비교 가능합니다.,최근 30일 매출이 직전기간 대비 34.2%,반복구매기여,반복구매기여 기준 score 0.13,available,limited,브랜드 점수 참고용,2026-04-18,2026-04-18,161962180,195510440,-0.17159318960153738
2026-04-18,1000000154,화연상,https://godomall.speedycdn.net/a1ce4a197810c4cd52677b215337ca9e/goods/1000000154/image/list/1000000154_list_031.jpg,정상 유지,-7340000,1.5,available,직전 동일 길이 기간과 비교 가능합니다.,최근 30일 매출이 직전기간 대비 150.0%,재구매확장기여,재구매확장기여 기준 score 0.12,available,limited,브랜드 점수 참고용,2026-04-18,2026-04-18,161962180,195510440,-0.17159318960153738
2026-04-18,1000000128,흑임자인절미,https://godomall.speedycdn.net/a1ce4a197810c4cd52677b215337ca9e/goods/1000000128/image/list/1000000128_list_033.jpg,즉시 확인,18600000,-0.5333333333333333,available,직전 동일 길이 기간과 비교 가능합니다.,최근 30일 매출이 직전기간 대비 -53.3%,재구매확장기여,재구매확장기여 기준 score 0.13,available,limited,브랜드 점수 참고용,2026-04-18,2026-04-18,161962180,195510440,-0.17159318960153738
2026-04-18,1000000143,"경기참기름, 경기들기름",https://godomall.speedycdn.net/a1ce4a197810c4cd52677b215337ca9e/goods/1000000143/image/list/1000000143_list_079.jpg,정상 유지,-4000000,0.6329113924050633,available,직전 동일 길이 기간과 비교 가능합니다.,최근 30일 매출이 직전기간 대비 63.3%,반복구매기여,반복구매기여 기준 score 0.12,available,limited,브랜드 점수 참고용,2026-04-18,2026-04-18,161962180,195510440,-0.17159318960153738
2026-04-18,1000000033,가래떡,https://godomall.speedycdn.net/a1ce4a197810c4cd52677b215337ca9e/goods/1000000033/image/list/1000000033_list_090.jpg,즉시 확인,9100000,-0.3388888888888889,available,직전 동일 길이 기간과 비교 가능합니다.,최근 30일 매출이 직전기간 대비 -33.9%,재구매확장기여,재구매확장기여 기준 score 0.14,available,limited,브랜드 점수 참고용,2026-04-18,2026-04-18,161962180,195510440,-0.17159318960153738
2026-04-18,1000000142,경기 미숫가루,https://godomall.speedycdn.net/a1ce4a197810c4cd52677b215337ca9e/goods/1000000142/image/list/1000000142_list_011.jpg,즉시 확인,9100000,-0.3630952380952381,available,직전 동일 길이 기간과 비교 가능합니다.,최근 30일 매출이 직전기간 대비 -36.3%,재구매확장기여,재구매확장기여 기준 score 0.14,available,limited,브랜드 점수 참고용,2026-04-18,2026-04-18,161962180,195510440,-0.17159318960153738
2026-04-18,1000000065,흰인절미,https://godomall.speedycdn.net/a1ce4a197810c4cd52677b215337ca9e/goods/1000000065/image/list/1000000065_list_019.jpg,정상 유지,-1000000,0.25,available,직전 동일 길이 기간과 비교 가능합니다.,최근 30일 매출이 직전기간 대비 25.0%,반복구매기여,반복구매기여 기준 score 0.42,available,limited,브랜드 점수 참고용,2026-04-18,2026-04-18,161962180,195510440,-0.17159318960153738
2026-04-18,1000000121,깨송편 1kg,https://godomall.speedycdn.net/a1ce4a197810c4cd52677b215337ca9e/goods/1000000121/image/list/1000000121_list_089.jpg,즉시 확인,7050000,-0.2956204379562044,available,직전 동일 길이 기간과 비교 가능합니다.,최근 30일 매출이 직전기간 대비 -29.6%,반복구매기여,반복구매기여 기준 score 0.22,available,limited,브랜드 점수 참고용,2026-04-18,2026-04-18,161962180,195510440,-0.17159318960153738
